4,"May 15, 2018"," So very good game I love to play this game is so very very very very good 
game for me and for all the people of the world thanks this game you are so 
good"
5,"June 27, 2018", If im not change my rate.. It mean this app is real work
3,"June 30, 2018"," Can't make a call at the moment, have to wait for at least a min."
5,"June 25, 2018"," Very useful app...very safe and secure..must install...and very convenient 
too."
5,"April 24, 2018"," Nice App,I m having Fun with it"
5,"March 25, 2018", This app is very important very useful interesting application for our mobile phones Everyone should have this in their phones
1,"May 13, 2018", Lot of condition worst app
5,"March 24, 2018", Wow its suprb app  just make for fun and really  very intersting function have
5,"March 19, 2018", nice app i like it  amazing app
5,"March 25, 2018", This is very interesting app and I am use the app and very faster app and please shared your frnd for app link
5,"June 5, 2018", Great app so much easier to use and much Better than the other apps on here.
5,"April 23, 2018", This is good👌👌👍👍
1,"May 23, 2018", I hate this app
5,"March 24, 2018", This is application is very important and very nice application and I hope all friends this is application is most important
5,"March 25, 2018", This is very interesting app you are use app is very beautiful app calling is very best
4,"June 17, 2018", Nice application it is very important application
5,"March 22, 2018", Time pass
4,"April 24, 2018", Ok good
5,"April 10, 2018", nyc software
5,"April 25, 2018", Yes
5,"March 30, 2018", God
5,"April 27, 2018", Super
1,"April 2, 2018", Worst
5,"March 22, 2018", Thankfull
5,"June 12, 2018", This app was amazing
1,"May 28, 2018", Worst
5,"February 25, 2018", If you are searching for any fake call app then this is the best. Guaranteed! Open challenge! Try this app.
5,"February 1, 2018", Very well performance. I m satisfied with the work of this app. Thank u developers
1,"February 18, 2018", I hate it
1,"February 24, 2018", Uninstalling..........................
1,"November 9, 2017", Hello everyone. PlZz don't Download this app. Bcoz developer has a mad..it is very bad app... I can -5 star.but minus was not available..
5,"May 8, 2018"," Fake call it is I also use thise app really work good, all features are so 
grateful. It's really best and useful tool application."
5,"April 1, 2018"," Best prank call app i have ever seen,ui and ux of this app is fabulous...i does not face any issues while using this app...words are fallen short to express how good this application is"
5,"April 5, 2018"," Fake Call is the best app to make pranks, from this app wr can make fake call aswell as fake messages, from this app we can fool anyone."
5,"March 27, 2018", Best app of making fake call. Everyone just download  this app. And prank your friends
1,"April 10, 2018", What the hell m trying call another number it comes to me    Useless
1,"November 9, 2017"," Don't doing time waste for Downloading .bcoz it is very third class app. Save your time, money, and data.."
5,"November 22, 2017", Made fool my cousins. Interesting
1,"November 9, 2017"," I'm totally disappointed for this app. It is very discousting app, frnds don't waste your data.."
5,"April 5, 2018"," Very very nice app.it,s easy to use and very useful app. I really like this app."
5,"March 27, 2018", If you want to prank your friends with fake call then you are on right place download this app and enjoy
1,"November 9, 2017", I'm very bad experience with this app. Never expected with this... Developer is only make money with this app...
5,"March 20, 2018"," very usefull ,, my friends shoked to see this.. i m using this to prank with my friends.. such a great work"
5,"July 2, 2018"," Excellent!! This is the only app I like the most. Love it!!. Outstanding 
app for making friends foolish!!"
5,"March 27, 2018", Best app for making free fake call from your mobile and prank your friends with this app
4,"March 24, 2018"," I like this app .thank you to app to gives to full information about app fake call,sms,or etc..so happy"
5,"March 9, 2018", It's great. I just loved it a lot.... This app is really great
5,"March 24, 2018", Heeeeyyyyy awesome Cool app it help us to prank our friends and parents thanks alot 😂
1,"May 8, 2018", Worst game forever in the world
5,"May 8, 2018", It's a good fake call app.i like this app very much.
5,"March 20, 2018"," Super app, easy to use and prank with friends.. good job by deveoper"
5,"November 14, 2017", I am completely satisfied with the performance of the application..I am thankful to you developer and wish you luck
5,"April 15, 2018", I make fun of my friends
1,"June 23, 2018", Very bad application
1,"November 9, 2017", Don't Download this app ...very bad experience PlZz use another app
5,"July 9, 2018", That's great to prank people at April fool 😂😂😂😂
5,"May 7, 2018", I like the app😜
5,"March 20, 2018", It is very usefull app  The app is amazing  Performace is very good
5,"March 20, 2018", It is very amazing app  It is very interesting app It is very good app and performance is good
5,"March 20, 2018", It is very amazing app It performance is very good  It is very interesting app
1,"June 5, 2018", kunna app
5,"July 5, 2018", The jas
5,"June 10, 2018", It's nothing like anything
5,"July 1, 2018", bad app
5,"June 23, 2018"," waw this is a great aap,, awsome"
2,"June 2, 2018", DONT' WASTE TIME
5,"May 10, 2018", Sudarsha
5,"May 27, 2018", Vry nice app
4,"June 27, 2018", This is nice app
5,"June 29, 2018", Nice very app
5,"July 7, 2018", Very very very very very good app
5,"March 26, 2018", Bgs
5,"April 2, 2018", Funny
1,"April 28, 2018", Raghubir
5,"May 1, 2018", Majaaaa
1,"May 28, 2018", Hxxx
5,"June 11, 2018", Super
5,"June 24, 2018", Hii
5,"June 27, 2018", Mast
5,"July 2, 2018", Yes
5,"July 3, 2018", Thanks
5,"July 11, 2018", Wow
4,"March 6, 2018", ∆0000
5,"May 22, 2018", It's good
3,"June 3, 2018", Good app.
5,"April 1, 2018", useful app
5,"April 26, 2018", Nice app
5,"April 27, 2018", Good morning
5,"May 2, 2018", Love app
5,"May 20, 2018", Good APP
4,"June 19, 2018", Nice app
5,"June 27, 2018", Good app
3,"June 15, 2018", Nice
5,"May 26, 2018", Good
5,"May 29, 2018", Good
5,"June 10, 2018", Nice
3,"July 1, 2018", Good
5,"July 1, 2018", Nice
5,"July 6, 2018", Good
5,"July 11, 2018", Nice
5,"March 30, 2018", Nice..........
