4,"August 4, 2016",Easy to use.  Sad about the infected with a virus  advert Works well but I  don't like the lying adverts
5,"September 4, 2016",Amazing n attractive aap Working 101% absolutely well aap n I am advising u to download it soon bcoz it soo helpful to u n save ur money by without purchasing calculator.
5,"October 31, 2016",The best calculator I use it often when I study and for everyday math problems. Very useful the memory. Keep going!!!
5,"May 13, 2016",Great tool The apps launches quick and it doesn't have annoying pop up ad windows
4,"June 8, 2016", Functional to help my work. But I dont like the colour is too dark.
4,"April 27, 2016",Scientific Calculator Had helped me sufficiently to continue its use.
5,"June 22, 2016","Excellent Sometimes a tiny bit slow to respond, but otherwise an excellent calculator."
1,"April 15, 2016",Brackets If u don't close d bracket it won't calculate. I hate it for dat reason
5,"November 17, 2015"," Very nice, multifunction calculator, simple, fast, light, recommended for student and mathematics addict !!!!, that's why I give 5 Starr!!"
5,"May 13, 2016", Excellent app with large keys for my big fingers. Thank you for all your hard work developers!! Just need to add a windows 7 units conversion to ît
5,"February 27, 2016", Very useful app i m Mechanical engr. Its helps me alot in my calculations
5,"January 19, 2016",Scientific Calculator User friendly excellent and enjoy it to make anykind ofcalculations on the calculator.
5,"January 12, 2016",Fantastic Calculator I liked the way in which it is designed. It really suited me in my work.
1,"April 20, 2018"," One star rating because it repeatedly generates an error connecting to the 
server when I attempt to purchase the Premium ad-free version.I can only 
assume that this option has been rendered no longer available by the 
developer."
4,"November 26, 2016"," This is a good app, but here have a little problem that's need backet for using the power"
5,"February 2, 2016","Tal cual una casio Cumple perfectamente, le podrían agregar la opción de corregir sobre la operación, una memoria de operaciones y algunas funciones programables, cosa de cargar ciertos valores y ya."
5,"February 10, 2016","like it just dont know where is the (abc) there..   the ""all over"""
5,"July 17, 2016",GA staff Nice and easy to use. Very similar with conventional calculator
5,"February 25, 2018", 1980's this calculator would have cost $600 or more.
4,"December 4, 2015",Good calci It's too much better than original calculator apps which is given in mobile.
5,"January 29, 2016"," This is the best calculating app, I have ever install."
5,"May 18, 2017", It is awesome. Really i like it very much and must try to do much better
4,"March 26, 2017", Ads should be less and sometimes I stops working
5,"December 8, 2015","Scientific Super, its look like real handy calsii....excellent app"
5,"September 12, 2016",Nice app It's very easy to use...very useful to solve tricky problems..
5,"May 23, 2016",Very good scientific calculator No need of buying scientific calculator at all.
5,"April 25, 2016",Awesome Used several. This is the best free and better than several paid
4,"March 13, 2017", It helps for solving numerical problem.
3,"August 23, 2017", Der iz no del button everytime u have 2 start it again
5,"February 10, 2016",Super useful It helped me with my geometry homework alot and is super easy to use.
5,"February 3, 2017", Thanks for this app it has a big help for me specially in my studies.
1,"March 31, 2017", it cant answer me scientific calculation so i dont like this app
5,"February 22, 2016",Nice An excellent one.  I love the calculator. It is what I want in a calculator
3,"January 1, 2017",Good performance I like caintific calculator
4,"May 12, 2017", It's a good app and easy to use but can't take it to exam hall because it's on phone... Lol
5,"November 15, 2015",best ive used amazing and simple
5,"April 18, 2017", Except for adding brackets close it's very functional and convenient
3,"March 26, 2018", It's nice app...if we have heavy calculation we must try it😃👌
5,"November 4, 2015", anak sekolah jadi ga beli kalkulator
1,"October 2, 2016", Does not work at all
4,"November 10, 2017", In the history option it could have full details about the calculations done..
5,"October 14, 2015", 1+2=3 a some and many other use in this app
5,"January 7, 2016",Nice application I installed 3 calculator applications.  This proved to be the best among them.
5,"December 5, 2015",Good 1 Good calci. Gives accurate result
5,"April 4, 2017", Best Scientific Calculator of the play store!! I love it!!
5,"June 8, 2018", Amazing app must try for all the typical problems
1,"January 31, 2018", Showing 6/2(2+1) = 9 but Answer Is 1
5,"October 11, 2015", woow.. this app tool can have quick access to a mathematical function that I want
4,"February 15, 2017"," Somewhat difficult to handle, but very useful"
5,"August 24, 2016",Drilling foreman Volume calculations
5,"January 24, 2016","Usefull app This is very usefull apps, and free too. Thanks"
5,"January 28, 2017", Much like actual calculator
5,"May 7, 2017", Glad it serves my purposes.
5,"September 30, 2016",Scientific Calculator 8 Level
5,"November 30, 2016", I really like this application very useful specially to my work.
5,"February 2, 2018", onek valo akta apps
5,"January 23, 2016", Good! Very usefull.
3,"June 25, 2017", its ok & more can be there.
4,"August 19, 2016","My best Its very very good for my work, I like it"
5,"September 28, 2017", A very Quick Calculating App.. With so many functions
5,"March 23, 2017", Best free scientific calculator. No weird permissions needed
3,"November 25, 2016",Good Its good but doesn't show the history of calculations
3,"December 18, 2017", itz good but it should not contain these add's
5,"December 20, 2017", Good calculator both engineer and others specially for mathematics.thank you.
5,"February 22, 2016",Best This is very usually app .it help very much in calculation
5,"June 12, 2016",Great calculator app Easy to use and very powerful little app.
5,"February 29, 2016", Great calculator!
5,"May 22, 2016",Superb Best companion for students
5,"November 15, 2015",Best scientific calculator Vvvvvvv
3,"July 20, 2017", It's cool just that it doesn't do permutations and combination
5,"January 8, 2017",Good performance with accessible interface Easy to use and accurate answers
4,"December 16, 2016", Need more update
5,"October 13, 2015", calculator dimag apps
5,"January 19, 2017", Could do with a Degree to Radian function. Otherwise V good.
5,"February 22, 2016",Tham It ' ok
5,"February 3, 2018", ভাল চলবে ৷
2,"June 29, 2016",Too mych Too much
5,"April 19, 2016", Very good  app.
5,"August 30, 2016","Super calculator User frendly, Complete, excellent  display"
5,"September 21, 2016", It's so easy to use. I like that about it
4,"July 12, 2016",Superb Nice feel. And simple to use
5,"January 16, 2016", Bagus sekaali
5,"November 18, 2017"," It's beutiful,"
5,"June 13, 2017", We'll done
5,"October 14, 2015", faqih studio
4,"March 20, 2017"," Me like, good app, makes me 'appy"
4,"June 18, 2016",Nice app Keep the good work up
5,"December 5, 2016",Better calculator I loved to calculate values by it
5,"January 19, 2017", I love the app is making everything easy
4,"February 1, 2016",It's awesome. Just don't like the ads.
4,"October 15, 2016",Teacher Very easy to use.  Excellent screen.
3,"September 26, 2016",Ok Average app...
5,"March 20, 2016", Excellent scientific calculator for my phone.
5,"November 14, 2017", Super it's very use in speed calculated
3,"July 31, 2017", It's ok
5,"February 18, 2018", Great calculator. Just what I need
5,"May 25, 2018"," As usually calculator, easy handle"
5,"August 19, 2016",Just wonderful Thanks
5,"October 12, 2015", cooled app i love it
3,"March 18, 2016", Good except for the brackets
4,"September 20, 2017", Good n easy
5,"February 25, 2016", better sci calculator
4,"May 12, 2018", The Aap is indeed useful. Thanks
5,"November 23, 2016",It's quite helpful I luv it
5,"June 6, 2016", Site supervisor
4,"July 15, 2016",Add Infinity
5,"May 20, 2016",Scientific calculator Very nice to use
4,"November 18, 2017", Excellent app nd easy to use
5,"February 5, 2016", Very nice and handy calculator app
5,"February 12, 2018", I love it its so helpful
4,"June 12, 2018", Try it out u gonna love it
